Year,DJ,JF,FM
2001,-0.496,-0.649,-0.56
2002,0.017,-0.16,-0.121
2003,1.214,0.944,0.833
2004,0.332,0.37,-0.035
2005,0.325,0.816,1.067
2006,-0.428,-0.414,-0.527
2007,0.985,0.537,0.12
2008,-1.006,-1.371,-1.579
2009,-0.714,-0.69,-0.723
2010,1.066,1.526,1.469
2011,-1.719,-1.544,-1.575
2012,-0.98,-0.675,-0.398
2013,0.103,-0.068,-0.037
2014,-0.27,-0.259,0.027
2015,0.417,0.464,0.631
